model,n_per_class,train_size,test_accuracy,test_f1_macro
resnet50,10,30,0.4418604651162791,0.4034188034188035
densenet121,10,30,1.0,1.0
efficientnet_b0,10,30,0.9418604651162791,0.9348165196266462
mobilenetv3_large,10,30,0.9534883720930233,0.9564821143768513
vit_b16,10,30,0.4186046511627907,0.35573630136986295
catnet,10,30,1.0,1.0
resnet50,30,90,0.9534883720930233,0.9501148506940976
densenet121,30,90,0.9767441860465116,0.9758875004776644
efficientnet_b0,30,90,0.9186046511627907,0.9211589580010632
mobilenetv3_large,30,90,0.9418604651162791,0.9456982682789135
vit_b16,30,90,0.9069767441860465,0.8659611992945325
catnet,30,90,0.9883720930232558,0.9850279025452565
resnet50,60,180,1.0,1.0
densenet121,60,180,1.0,1.0
efficientnet_b0,60,180,0.9534883720930233,0.9503066378066377
mobilenetv3_large,60,180,0.9418604651162791,0.9388067117685281
vit_b16,60,180,1.0,1.0
catnet,60,180,0.9883720930232558,0.9850279025452565
