model,corruption,severity,accuracy
resnet50,clean,0,0.9569060773480663
resnet50,gaussian_noise,1,0.7756906077348066
resnet50,gaussian_noise,2,0.4044198895027624
resnet50,gaussian_noise,3,0.2287292817679558
resnet50,motion_blur,1,0.8906077348066298
resnet50,motion_blur,2,0.687292817679558
resnet50,motion_blur,3,0.4154696132596685
resnet50,brightness,1,0.943646408839779
resnet50,brightness,2,0.9425414364640884
resnet50,brightness,3,0.9281767955801105
resnet50,jpeg_compression,1,0.907182320441989
resnet50,jpeg_compression,2,0.825414364640884
resnet50,jpeg_compression,3,0.5558011049723757
resnet50,defocus_blur,1,0.9281767955801105
resnet50,defocus_blur,2,0.9005524861878453
resnet50,defocus_blur,3,0.7613259668508288
densenet121,clean,0,0.9546961325966851
densenet121,gaussian_noise,1,0.8198895027624309
densenet121,gaussian_noise,2,0.4154696132596685
densenet121,gaussian_noise,3,0.04088397790055249
densenet121,motion_blur,1,0.7878453038674034
densenet121,motion_blur,2,0.5414364640883977
densenet121,motion_blur,3,0.3723756906077348
densenet121,brightness,1,0.9447513812154696
densenet121,brightness,2,0.9215469613259668
densenet121,brightness,3,0.9259668508287293
densenet121,jpeg_compression,1,0.9093922651933701
densenet121,jpeg_compression,2,0.8519337016574585
densenet121,jpeg_compression,3,0.7160220994475138
densenet121,defocus_blur,1,0.9303867403314917
densenet121,defocus_blur,2,0.8806629834254144
densenet121,defocus_blur,3,0.6541436464088398
efficientnet_b0,clean,0,0.974585635359116
efficientnet_b0,gaussian_noise,1,0.7005524861878453
efficientnet_b0,gaussian_noise,2,0.04088397790055249
efficientnet_b0,gaussian_noise,3,0.02541436464088398
efficientnet_b0,motion_blur,1,0.9082872928176795
efficientnet_b0,motion_blur,2,0.7237569060773481
efficientnet_b0,motion_blur,3,0.5215469613259669
efficientnet_b0,brightness,1,0.9668508287292817
efficientnet_b0,brightness,2,0.949171270718232
efficientnet_b0,brightness,3,0.9425414364640884
efficientnet_b0,jpeg_compression,1,0.949171270718232
efficientnet_b0,jpeg_compression,2,0.9038674033149171
efficientnet_b0,jpeg_compression,3,0.7281767955801105
efficientnet_b0,defocus_blur,1,0.9447513812154696
efficientnet_b0,defocus_blur,2,0.8928176795580111
efficientnet_b0,defocus_blur,3,0.6972375690607735
mobilenetv3_large,clean,0,0.96353591160221
mobilenetv3_large,gaussian_noise,1,0.687292817679558
mobilenetv3_large,gaussian_noise,2,0.0430939226519337
mobilenetv3_large,gaussian_noise,3,0.027624309392265192
mobilenetv3_large,motion_blur,1,0.9292817679558011
mobilenetv3_large,motion_blur,2,0.7370165745856354
mobilenetv3_large,motion_blur,3,0.5104972375690607
mobilenetv3_large,brightness,1,0.9657458563535911
mobilenetv3_large,brightness,2,0.9591160220994475
mobilenetv3_large,brightness,3,0.9469613259668508
mobilenetv3_large,jpeg_compression,1,0.9193370165745857
mobilenetv3_large,jpeg_compression,2,0.8441988950276244
mobilenetv3_large,jpeg_compression,3,0.6331491712707182
mobilenetv3_large,defocus_blur,1,0.9602209944751381
mobilenetv3_large,defocus_blur,2,0.9370165745856354
mobilenetv3_large,defocus_blur,3,0.7591160220994475
vit_b16,clean,0,0.958011049723757
vit_b16,gaussian_noise,1,0.9535911602209944
vit_b16,gaussian_noise,2,0.8530386740331491
vit_b16,gaussian_noise,3,0.5104972375690607
vit_b16,motion_blur,1,0.9546961325966851
vit_b16,motion_blur,2,0.8729281767955801
vit_b16,motion_blur,3,0.6508287292817679
vit_b16,brightness,1,0.9524861878453039
vit_b16,brightness,2,0.9259668508287293
vit_b16,brightness,3,0.9303867403314917
vit_b16,jpeg_compression,1,0.9546961325966851
vit_b16,jpeg_compression,2,0.9513812154696133
vit_b16,jpeg_compression,3,0.8795580110497238
vit_b16,defocus_blur,1,0.96353591160221
vit_b16,defocus_blur,2,0.9502762430939227
vit_b16,defocus_blur,3,0.8718232044198895
catnet,clean,0,0.9657458563535911
catnet,gaussian_noise,1,0.7337016574585635
catnet,gaussian_noise,2,0.18232044198895028
catnet,gaussian_noise,3,0.036464088397790057
catnet,motion_blur,1,0.9215469613259668
catnet,motion_blur,2,0.7093922651933702
catnet,motion_blur,3,0.4861878453038674
catnet,brightness,1,0.9624309392265193
catnet,brightness,2,0.949171270718232
catnet,brightness,3,0.9480662983425414
catnet,jpeg_compression,1,0.9480662983425414
catnet,jpeg_compression,2,0.912707182320442
catnet,jpeg_compression,3,0.7392265193370166
catnet,defocus_blur,1,0.9591160220994475
catnet,defocus_blur,2,0.9270718232044199
catnet,defocus_blur,3,0.7513812154696132
